Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
0.011039495468139648,16.041971168770694,23.96491765975952,538.18359375,0,1
0.5295536518096924,15.941930101407284,24.725449085235596,531.73828125,873.7,1
1.6827354431152344,16.40878841576987,24.80722665786743,531.73828125,874.0,1
2.6906561851501465,16.542176505587744,24.766337871551514,496.2890625,874.2,1
3.6839864253997803,16.60887055049669,24.86855983734131,534.9609375,874.5,1
4.692504167556763,14.741437293046356,24.794960021972656,538.18359375,874.7,1
5.685112953186035,16.308747348406456,24.856293201446533,534.9609375,875.0,1
6.693874359130859,16.40878841576987,24.774515628814697,541.40625,875.3,1
7.684530258178711,17.20911695467715,24.85220432281494,538.18359375,875.5,1
8.692195177078247,15.741847966680464,24.839937686920166,534.9609375,875.7,1
9.68937611579895,16.50882948313328,24.860382080078125,534.9609375,875.9,1
10.68239426612854,16.442135438224337,24.435138702392578,522.0703125,876.2,1
11.691858053207397,16.442135438224337,24.48420524597168,534.9609375,876.4,1
12.683681011199951,16.50882948313328,24.410605430603027,534.9609375,876.7,1
13.691059827804565,16.708911617860096,24.41469430923462,538.18359375,876.8,1
14.687233686447144,17.409199089403973,24.381983280181885,538.18359375,877.2,1
15.696385860443115,16.442135438224337,24.480116367340088,538.18359375,877.3,1
16.695037364959717,16.041971168770694,24.406516551971436,534.9609375,877.6,1
17.699132204055786,16.50882948313328,24.41469430923462,538.18359375,877.9,1
18.689288854599,16.67556459540563,24.480116367340088,531.73828125,878.1,1
19.695629835128784,17.909404426221027,24.8726487159729,576.8554687499999,878.3,1
20.694716453552246,16.775605662769042,24.181628227233887,541.40625,878.6,1
21.704533338546753,17.642628246585264,24.34518337249756,538.18359375,878.8,1
22.69624090194702,14.374620046047188,24.627315998077393,541.40625,879.0,1
23.685124158859253,16.57552352804222,24.521005153656006,534.9609375,879.3,1
24.693368673324585,16.64221757295116,24.451494216918945,512.4023437499999,879.5,1
25.68964982032776,16.74225864031457,24.46376085281372,541.40625,879.8,1
26.69825029373169,16.90899375258692,24.799048900604248,538.18359375,880.0,1
27.691296577453613,16.308747348406456,24.91762638092041,538.18359375,880.3,1
28.69696879386902,16.67556459540563,24.516916275024414,534.9609375,880.4,1
29.692012548446655,16.442135438224337,24.48420524597168,544.6289062499999,880.7,1
30.70197582244873,16.60887055049669,24.89718198776245,538.18359375,880.9,1
31.70097851753235,14.341273023592716,24.521005153656006,576.8554687499999,881.2,1
32.703749656677246,16.67556459540563,24.512827396392822,538.18359375,881.5,1
33.69317078590393,16.74225864031457,24.901270866394043,538.18359375,881.6,1
34.702096462249756,16.775605662769042,24.50464963912964,538.18359375,881.9,1
35.69780921936035,16.308747348406456,24.516916275024414,538.18359375,882.1,1
36.692259311676025,16.708911617860096,24.570071697235107,544.6289062499999,882.4,1
37.70709490776062,16.775605662769042,24.52918291091919,547.8515625,882.6,1
