0,0,0,0,0,0,0
0.0072959,2.6309,2765,51.424,354.91,0.0031265,2
0.92895,2.6316,2750.7,51.182,354.59,0.79118,2
3.5935,2.6268,2752.5,50.968,364.84,3.0594,2
6.1284,2.613,2828.5,51.009,346.92,5.2135,2
8.8833,2.6073,2770.4,50.819,351.57,7.5512,2
11.348,2.6295,2734.7,49.929,334.87,9.6204,2
13.897,2.606,2745.4,49.133,353.12,11.724,2
16.331,2.6105,2744.5,49.011,355.3,13.715,2
18.69,2.6019,2747.2,49.196,331.57,15.646,2
20.776,2.6086,2776.7,49.63,363.17,17.364,2
23.075,2.5908,2729.3,49.85,340.74,19.27,2
25.38,2.5991,2742.7,48.62,351,21.161,2
27.872,2.6054,2799.9,47.459,361.01,23.157,2
29.972,2.5922,2751.6,48.188,355.24,24.83,2
32.447,2.6073,2797.2,47.71,364.11,26.808,2
34.897,2.5927,2729.3,47.756,357.36,28.757,2
37.187,2.606,2784.7,47.622,349.82,30.577,2
39.674,2.6051,2772.2,48.155,368.88,32.563,2
42.098,2.5857,2778.4,47.989,348.39,34.505,2
44.586,2.5839,2749,46.824,366.17,36.47,2
46.974,2.5728,2795.4,46.545,350.98,38.328,2
49.406,2.5652,2768.6,46.838,358.42,40.221,2
51.872,2.5701,2740.9,46.479,362.84,42.138,2
54.248,2.5885,2760.6,47.054,344.19,43.99,2
56.687,2.5615,2736.5,45.687,350.24,45.875,2
59.164,2.5583,2741.8,46.333,385.04,47.775,2
61.573,2.5596,2765.9,45.697,384.74,49.623,2
63.838,2.6003,2776.7,46.26,357.56,51.358,2
66.311,2.5749,2757,45.309,349.98,53.245,2
68.744,2.5929,2716.8,45.127,347.35,55.079,2
70.866,2.5846,2765.9,45.335,372.28,56.679,2
73.186,2.6369,2752.5,45.146,367.06,58.428,2
75.276,2.6136,2738.2,44.795,369.57,59.994,2
77.743,2.6358,2735.6,44.439,360.42,61.829,2
80.13,2.618,2754.3,44.419,359.05,63.596,2
82.561,2.6362,2741.8,44.641,368.92,65.401,2
84.99,2.6164,2705.2,43.973,365.33,67.194,2
87.325,2.6151,2747.2,43.991,366.21,68.906,2
89.775,2.6353,2770.4,43.571,358.07,70.694,2
92.239,2.6143,2755.2,43.645,358.19,72.484,2
94.716,2.6247,2725.7,43.325,342.86,74.279,2
97.148,2.6315,2743.6,43.286,344.07,76.035,2
99.576,2.6833,2739.1,43.164,384.78,77.784,2
101.75,2.9225,2774,43.132,400.42,79.35,2
103.85,2.468,2768.6,42.944,373.95,80.851,2
106.08,2.6316,2723.9,43.101,351.41,82.456,2
108.44,2.6318,2749,42.767,390.41,84.14,2
110.85,2.6216,2724.8,42.449,353.57,85.855,2
113.3,2.6037,2799,42.28,351.96,87.581,2
115.63,2.6123,2775.8,43.219,372.81,89.241,2
118.04,2.6263,2740.9,42.018,362.41,90.956,2
120.36,2.6275,2738.2,41.842,361.54,92.574,2
122.74,2.6201,2771.3,42.498,386.94,94.252,2
125.01,2.6243,2739.1,41.781,345.04,95.844,2
127.3,2.6042,2783.8,41.584,365.33,97.435,2
129.61,2.6216,2747.2,42.553,358.58,99.057,2
131.97,2.6171,2706.1,41.588,376.71,100.71,2
134.25,2.6086,2778.4,41.527,355.44,102.29,2
136.57,2.6163,2787.4,41.936,347.37,103.9,2
138.91,2.623,2772.2,41.335,362.68,105.53,2
141.1,2.6233,2797.2,41.323,345.7,107.04,2
143.51,2.6194,2754.3,40.991,377.2,108.68,2
145.81,2.6054,2804.3,40.987,380.19,110.26,2
148.16,2.6023,2740.9,42.191,353.69,111.89,2
150.57,2.6116,2765.9,41.692,362.54,113.57,2
152.86,2.6064,2807,40.963,375.05,115.15,2
155.2,2.6223,2719.5,40.637,363.88,116.74,2
157.48,2.6223,2781.1,41.574,365.74,118.3,2
159.9,2.6169,2763.3,41.179,355.89,119.97,2
162.3,2.6136,2719.5,40.788,366.15,121.61,2
164.66,2.6194,2759.7,40.661,372.42,123.21,2
167.02,2.6057,2775.8,40.331,393.83,124.8,2
169.36,2.6296,2750.7,40.914,381.37,126.39,2
171.78,2.6404,2703.4,40.211,362.15,128.03,2
174.23,2.6122,2747.2,40.291,386.72,129.67,2
176.68,2.615,2713.2,42.091,387.82,131.35,2
179.09,2.5953,2731.1,40.356,372.75,133.01,2
181.48,2.623,2757,40.58,383.03,134.62,2
183.84,2.606,2749,40.547,358.99,136.21,2
186.21,2.6086,2740,40.166,370.92,137.81,2
188.61,2.5968,2767.7,39.778,378.07,139.41,2
191.08,2.6054,2715,39.997,379.01,141.05,2
193.51,2.6157,2825.8,39.7,389.04,142.66,2
195.82,2.5865,2729.3,39.792,389.26,144.19,2
198.21,2.6213,2813.3,39.329,365.47,145.77,2
200.48,2.6213,2771.3,39.596,362.66,147.27,2
202.6,2.6117,2764.1,39.303,367.94,148.66,2
204.81,2.6143,2766.8,39.382,365.15,150.11,2
206.98,2.6236,2724.8,39.252,362.21,151.53,2
209.25,2.6143,2732.9,39.142,366.31,153.01,2
211.66,2.6256,2699.8,39.189,327.7,154.58,2
214.1,2.619,2691.8,38.93,351.3,156.17,2
216.52,2.6245,2760.6,38.959,367.25,157.74,2
218.96,2.6067,2700.7,39.389,349.53,159.33,2
221.33,2.604,2726.6,38.822,358.3,160.88,2
223.59,2.6099,2722.2,38.594,370.77,162.34,2
225.79,2.6117,2737.3,38.847,347.02,163.76,2
227.83,2.5971,2781.1,38.702,358.28,165.08,2
230.19,2.6341,2729.3,39.639,374.26,166.61,2
232.5,2.6289,2722.2,38.666,376.11,168.13,2
