Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.009563207626342773,0.5356057274420527,19,438.28125,00121.8
1.2314457893371582,0.6356467948054627,18,412.5,121.9
2.7256572246551514,0.3688706151697021,18,406.0546875,122.2
3.7188918590545654,0.8023819070778142,18,425.390625,122.3
4.726759195327759,0.4689116825331121,18,383.49609375,122.5
5.7201313972473145,0.6356467948054627,22,422.16796875,122.6
6.729256629943848,0.8690759519867548,18,431.8359375,122.7
7.722381830215454,-0.0979876991928803,18,412.5,123.0
8.715765714645386,0.5022587049875833,18,441.50390625,123.1
9.724292516708374,0.7356878621688745,22,444.7265625,123.3
10.717713594436646,0.6689938172599339,18,435.05859375,123.4
11.726020336151123,0.9357699968956954,18,435.05859375,123.5
12.719526052474976,1.0691580867135766,18,441.50390625,123.8
13.727431774139404,0.6022997723509933,18,473.73046875,123.9
14.720635652542114,0.568952749896523,18,431.8359375,124.1
15.729664325714111,0.6356467948054627,18,431.8359375,124.2
16.722686052322388,0.6022997723509933,18,435.05859375,124.3
17.7314772605896,0.5022587049875833,18,409.27734375,124.6
18.724519729614258,0.4355646600786427,18,396.38671875,124.7
19.717944622039795,0.6689938172599339,18,380.2734375,124.9
20.72573709487915,0.7356878621688745,18,425.390625,125.0
21.718908548355103,0.5356057274420527,18,435.05859375,125.1
22.7278470993042,0.8023819070778142,18,399.609375,125.4
