Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.009144067764282227,-5.0,7,3274.21875,0
0.5254349708557129,-5.0,7,0.0,8.4
1.3138139247894287,-5.0,7,0.0,8.4
2.3060710430145264,-5.0,4,0.0,8.3
3.3136844635009766,-5.0,7,0.0,8.3
4.306682825088501,-5.0,6,0.0,8.3
5.316338300704956,-5.0,7,0.0,8.3
6.30879020690918,-5.0,7,0.0,8.3
7.316718816757202,-5.0,7,0.0,8.3
8.310695886611938,-5.0,7,0.0,8.3
9.318198442459106,-5.0,7,0.0,8.3
10.312195062637329,-5.0,7,0.0,8.3
11.33664584159851,-5.0,11,0.0,8.3
12.329674482345581,-5.0,5,0.0,8.2
13.340309143066406,-5.0,5,0.0,8.2
14.34777045249939,-5.0,6,0.0,8.2
15.342392921447754,-5.0,6,0.0,8.2
16.33453607559204,-5.0,6,0.0,8.2
17.345260858535767,-5.0,8,0.0,8.2
18.342164039611816,-5.0,6,0.0,8.2
19.349949836730957,-5.0,6,0.0,8.2
20.35357117652893,-5.0,6,0.0,8.2
21.34766459465027,-5.0,6,0.0,8.2
22.343676805496216,-5.0,6,0.0,8.2
23.354018449783325,-5.0,6,0.0,8.2
24.365137577056885,-5.0,6,0.0,8.2
25.352981328964233,-5.0,6,0.0,8.2
