Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.01108551025390625,-3.499383989548841,17.026090621948242,499.51171875,1330.4
0.8666775226593018,-4.799917865273179,17.079246044158936,493.06640625,1330.5
1.8726575374603271,-4.499794663182947,17.038357257843018,496.2890625,1330.6
2.8706111907958984,-4.433100618274007,16.559958457946777,389.94140624999994,1330.8
3.875868558883667,-4.433100618274007,17.06289052963257,370.60546875,1330.8
4.882710695266724,-4.132977416183775,17.13649034500122,367.3828125,1330.9
5.885617256164551,-4.066283371274834,17.09151268005371,386.71875,1331.0
6.883505821228027,-4.366406573365066,17.11195707321167,351.26953125,1331.1
7.895771503448486,-4.433100618274007,17.13649034500122,441.50390625,1331.2
8.889609098434448,-4.366406573365066,17.058801651000977,425.390625,1331.2
9.889276027679443,-4.766570842818709,17.52084493637085,422.16796875,1331.4
10.875547647476196,-4.433100618274007,17.107868194580078,444.7265625,1331.5
11.869200944900513,-4.499794663182947,17.02200174331665,441.50390625,1331.6
12.873579263687134,-4.366406573365066,17.038357257843018,435.05859375,1331.7
13.866817474365234,-4.466447640728477,17.071068286895752,435.05859375,1331.7
14.875805377960205,-4.466447640728477,17.079246044158936,454.39453125,1331.8
15.87030553817749,-4.633182753000828,17.058801651000977,451.171875,1332.0
16.878484964370728,-3.8662012365480134,17.054712772369385,454.39453125,1332.0
17.871525764465332,-4.433100618274007,16.854357719421387,444.7265625,1332.1
18.878623247146606,-3.599425056912252,17.079246044158936,422.16796875,1332.2
19.87224531173706,-4.499794663182947,17.075157165527344,422.16796875,1332.4
20.87156844139099,-4.433100618274007,17.075157165527344,451.171875,1332.4
21.88014507293701,-4.466447640728477,17.06697940826416,457.6171875,1332.5
22.86758303642273,-4.266365506001655,17.516756057739258,457.6171875,1332.6
23.88109517097473,-4.466447640728477,17.06697940826416,441.50390625,1332.7
24.876654386520386,-4.599835730546357,17.47995615005493,457.6171875,1332.8
25.88362741470337,-4.499794663182947,17.488133907318115,470.5078125,1332.9
26.875863552093506,-4.866611910182119,17.050623893737793,467.28515625,1333.0
27.879246473312378,-4.066283371274834,17.06697940826416,576.8554687499999,1333.1
28.873055458068848,-4.633182753000828,17.08742380142212,435.05859375,1333.1
29.881492376327515,-4.132977416183775,17.075157165527344,464.0625,1333.3
