Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.00835561752319336,6.80484594888245,21,460.83984375,535.3
1.4074418544769287,7.138316173427153,21,447.94921875,535.8
2.416233777999878,6.838192971336921,21,454.39453125,536.3
3.4095327854156494,6.93823403870033,22,454.39453125,536.9
4.4183125495910645,7.038275106063741,21,454.39453125,537.4
5.416688442230225,6.971581061154801,21,464.0625,537.9
6.4196083545684814,6.6381108366101,21,444.7265625,538.4
7.41485071182251,6.104558477338575,21,457.6171875,538.9
8.421008110046387,7.038275106063741,21,441.50390625,539.4
9.417064189910889,7.071622128518213,21,438.28125,540.0
10.42332935333252,7.004928083609272,21,480.17578125,540.4
11.415961503982544,7.004928083609272,21,476.953125,540.9
12.41010308265686,6.671457859064569,21,480.17578125,541.4
13.418946027755737,7.171663195881623,21,476.953125,541.9
14.412095546722412,7.071622128518213,21,505.95703125,542.5
15.42583441734314,7.038275106063741,21,464.0625,542.9
16.421242713928223,7.038275106063741,21,428.61328125,543.5
17.426851749420166,7.071622128518213,21,406.0546875,544.0
18.421278476715088,7.205010218336094,21,444.7265625,544.5
19.43009352684021,6.904887016245862,21,444.7265625,545.0
20.422799825668335,7.171663195881623,21,467.28515625,545.6
21.431837797164917,7.071622128518213,21,447.94921875,546.1
22.42407774925232,7.10496915097268,21,435.05859375,546.6
23.433655500411987,7.038275106063741,21,454.39453125,547.0
24.427014589309692,6.971581061154801,20,418.9453125,547.5
25.415667057037354,6.80484594888245,20,409.27734375,548.0
26.424641370773315,7.004928083609272,21,451.171875,548.5
27.416880130767822,6.771498926427979,21,444.7265625,549.1
28.424472332000732,6.838192971336921,21,467.28515625,549.6
29.418663024902344,7.071622128518213,21,454.39453125,550.1
30.426177501678467,7.205010218336094,21,431.8359375,550.6
31.42039680480957,7.10496915097268,21,402.83203125,551.1
32.42927050590515,7.538480442880795,21,380.2734375,551.6
33.4258553981781,7.10496915097268,21,377.05078124999994,552.2
34.43322134017944,7.205010218336094,21,389.94140624999994,552.6
35.42916488647461,7.171663195881623,21,383.49609375,553.2
36.433077335357666,6.971581061154801,21,415.72265625,553.6
37.430699825286865,7.138316173427153,21,415.72265625,554.1
38.43961834907532,7.138316173427153,21,383.49609375,554.6
39.43093395233154,7.004928083609272,21,425.390625,555.1
40.42163038253784,6.871539993791391,21,396.38671875,555.6
