Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
99.13110352,7.705215555,21.65879011,422.1679688,16.4,1
100.1463091,7.538480443,21.66287899,428.6132813,16.8,1
101.1349797,7.205010218,21.6792345,444.7265625,17,1
102.1297371,7.605174488,21.72012329,470.5078125,17.4,1
103.1330991,7.705215555,21.69559002,412.5,17.8,1
104.1269839,7.571827465,21.6792345,467.2851563,18.1,1
105.1349261,7.571827465,21.6219902,444.7265625,18.4,1
106.1316216,7.305051286,21.65879011,435.0585938,18.8,1
107.1466625,7.571827465,21.65061235,406.0546875,19.1,1
108.1336865,8.03868578,21.62607908,428.6132813,19.4,1
109.1470253,7.605174488,21.64652348,444.7265625,19.8,1
110.1384437,7.63852151,21.66287899,422.1679688,20.1,1
111.1436694,7.571827465,21.62607908,447.9492188,20.4,1
112.1502295,7.971991735,21.65470123,415.7226563,20.8,1
113.144773,7.571827465,21.70376778,425.390625,21.1,1
114.1395133,7.071622129,21.66287899,438.28125,21.4,1
115.135915,7.705215555,21.63016796,406.0546875,21.8,1
116.1421518,7.605174488,21.65470123,451.171875,22.2,1
117.1352232,7.571827465,21.63425684,422.1679688,22.6,1
118.143882,7.63852151,22.07994461,460.8398438,22.8,1
119.1380208,7.305051286,21.65470123,454.3945313,23.2,1
120.1402514,7.605174488,19.708395,438.28125,23.6,1
121.1393151,7.90529769,21.67514563,428.6132813,23.8,1
122.1475894,7.571827465,21.66696787,464.0625,24.2,1
123.1434641,7.705215555,22.07176685,460.8398438,24.6,1
124.1518989,7.705215555,21.91230059,435.0585938,24.8,1
125.1410863,7.471786398,23.01629782,441.5039063,25.2,1
126.1575348,7.938644712,21.68741226,431.8359375,25.6,1
127.157115,7.63852151,21.70785666,402.8320313,25.8,1
128.1643357,7.63852151,22.06767797,399.609375,26.2,1
129.1484232,8.005338757,22.08403349,383.4960938,26.6,1
130.1381531,7.805256623,21.72012329,409.2773438,26.9,1
131.1474161,7.705215555,22.08812237,470.5078125,27.2,1
132.1379669,7.671868533,22.05132246,457.6171875,27.6,1
133.1445987,7.7719096,22.05132246,451.171875,28,1
134.1387181,7.63852151,22.0635891,476.953125,28.2,1
135.1464477,7.671868533,21.69559002,457.6171875,28.6,1
136.1395006,7.938644712,21.69150114,486.6210938,29,1
137.1491287,7.538480443,21.71194553,454.3945313,29.3,1
138.1419258,7.605174488,22.12492228,451.171875,29.7,1
139.1559684,7.671868533,22.16581106,502.734375,30,1
140.143621,7.705215555,21.73647881,505.9570313,30.4,1
141.1443951,7.471786398,25.58820248,518.8476563,30.7,1
142.1499689,7.63852151,22.12492228,486.6210938,31,1
143.1435711,7.738562578,21.69559002,431.8359375,31.4,1
144.1531086,7.805256623,21.71194553,512.4023437,31.7,1
145.1410217,7.805256623,22.10856676,480.1757813,32.1,1
146.1486883,8.505544094,22.16172218,441.5039063,32.5,1
147.1494925,7.038275106,21.72012329,447.9492188,32.7,1
148.1512721,7.605174488,21.69150114,480.1757813,33.1,1
149.1445374,7.738562578,22.15354443,435.0585938,33.5,1
150.1385479,7.63852151,21.78963423,441.5039063,33.7,1
151.1463232,7.571827465,21.6792345,467.2851563,34.1,1
152.1397974,7.971991735,21.6792345,473.7304688,34.5,1
153.1542158,7.7719096,21.70376778,480.1757813,34.8,1
154.1422107,7.838603645,21.6996789,489.84375,35.1,1
