Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.010686397552490234,8.305461959333607,19,460.83984375,62.7
1.0931565761566162,7.705215555153146,19,438.28125,62.8
2.1013197898864746,8.405503026697021,19,473.73046875,63.1
3.095088005065918,8.60558516142384,19,476.953125,63.1
4.104427814483643,8.172073869515728,19,505.95703125,63.3
5.096541881561279,7.805256622516554,19,380.2734375,63.5
6.093727350234985,8.005338757243377,19,435.05859375,63.6
7.106838941574097,8.37215600424255,19,393.16406249999994,63.8
8.093432426452637,8.60558516142384,19,380.2734375,63.9
9.099311828613281,7.938644712334435,19,457.6171875,64.1
10.093837022781372,7.771909600062084,19,438.28125,64.2
11.106973648071289,7.971991734788906,19,447.94921875,64.3
12.116376161575317,8.405503026697021,19,473.73046875,64.5
13.110302925109863,8.405503026697021,19,383.49609375,64.7
14.102369546890259,8.77232027369619,19,457.6171875,64.8
15.113813400268555,8.105379824606786,19,348.046875,64.9
16.103747844696045,8.072032802152318,19,473.73046875,65.1
17.112324953079224,8.438850049151489,19,512.4023437499999,65.2
18.108375310897827,8.405503026697021,19,525.29296875,65.4
19.109381198883057,8.2054208919702,19,438.28125,65.5
20.10246753692627,8.63893218387831,19,525.29296875,65.7
21.117135763168335,8.33880898178808,19,512.4023437499999,65.8
22.105648517608643,8.405503026697021,19,518.84765625,65.9
23.11348867416382,8.005338757243377,19,570.41015625,66.2
24.106521368026733,8.472197071605958,19,538.18359375,66.3
25.117998123168945,8.37215600424255,19,525.29296875,66.4
26.10852336883545,8.77232027369619,19,512.4023437499999,66.6
27.11790132522583,8.505544094060431,19,460.83984375,66.7
28.111912965774536,8.405503026697021,19,467.28515625,66.9
29.104002952575684,8.738973251241722,19,541.40625,67.0
30.11330223083496,8.63893218387831,19,534.9609375,67.1
31.107237577438354,8.505544094060431,19,496.2890625,67.3
32.1178834438324,8.872361341059603,19,544.6289062499999,67.4
33.12309956550598,8.672279206332782,19,438.28125,67.6
