Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.009592294692993164,-4.933305955091059,23.797273635864258,3.22265625,00112.1
0.8479146957397461,-4.96665297754553,23.36794137954712,0.0,112.1
1.8423137664794922,-4.96665297754553,23.34749698638916,0.0,112.1
2.854633331298828,-4.96665297754553,23.384296894073486,0.0,112.1
3.8560950756073,-5.0,23.404741287231445,6.4453125,112.1
4.850948095321655,-5.0,23.359763622283936,0.0,112.1
5.844134092330933,-5.0,23.359763622283936,0.0,112.1
6.852682113647461,-5.0,23.36794137954712,0.0,112.1
7.846086502075195,-4.933305955091059,23.400652408599854,0.0,112.1
8.863304376602173,-5.0,23.351585865020752,0.0,112.1
9.862492799758911,-4.96665297754553,23.37203025817871,0.0,112.1
10.848410367965698,-5.0,23.314785957336426,0.0,112.1
11.849371433258057,-4.833264887727649,23.380208015441895,0.0,112.1
12.847440481185913,-5.0,23.39247465133667,0.0,112.1
13.857757568359375,-5.0,23.359763622283936,3.22265625,112.1
14.845203638076782,-5.0,23.39247465133667,0.0,112.1
15.853660106658936,-4.96665297754553,23.380208015441895,0.0,112.1
16.846678733825684,-5.0,23.351585865020752,0.0,112.1
17.856122255325317,-5.0,23.34340810775757,0.0,112.1
18.849337339401245,-5.0,23.400652408599854,6.4453125,112.1
19.857608318328857,-5.0,23.39247465133667,0.0,112.1
20.851057767868042,-5.0,23.384296894073486,0.0,112.1
21.85904097557068,-5.0,23.34340810775757,0.0,112.1
22.86003828048706,-5.0,23.363852500915527,0.0,112.1
23.8624746799469,-5.0,23.355674743652344,3.22265625,112.1
24.858760356903076,-4.766570842818709,23.380208015441895,0.0,112.1
25.8482506275177,-4.766570842818709,23.339319229125977,0.0,112.1
26.856181621551514,-5.0,23.41291904449463,0.0,112.1
27.857933282852173,-5.0,23.408830165863037,0.0,112.1
28.865358591079712,-4.866611910182119,23.380208015441895,0.0,112.1
29.851542234420776,-5.0,23.388385772705078,0.0,112.1
30.860920906066895,-4.933305955091059,23.359763622283936,0.0,112.1
31.85406732559204,-4.899958932636589,23.39247465133667,3.22265625,112.1
32.86216926574707,-4.96665297754553,23.34340810775757,0.0,112.1
33.860300064086914,-5.0,23.363852500915527,3.22265625,112.1
34.86499524116516,-4.933305955091059,23.36794137954712,0.0,112.1
35.85807204246521,-4.96665297754553,23.785006999969482,0.0,112.1
36.8515522480011,-5.0,23.764562606811523,0.0,112.1
37.85966515541077,-5.0,23.376119136810303,0.0,112.1
38.852848291397095,-5.0,23.39247465133667,0.0,112.1
39.86318111419678,-5.0,23.41700792312622,0.0,112.1
40.860658168792725,-5.0,23.355674743652344,0.0,112.1
41.8684139251709,-4.866611910182119,23.34749698638916,0.0,112.1
42.86937189102173,-4.899958932636589,23.36794137954712,0.0,112.1
43.86614108085632,-5.0,23.376119136810303,0.0,112.1
44.85918164253235,-4.833264887727649,23.380208015441895,3.22265625,112.1
45.86828136444092,-4.96665297754553,23.359763622283936,0.0,112.1
46.86629033088684,-5.0,23.36794137954712,0.0,112.1
47.86999988555908,-5.0,23.380208015441895,0.0,112.1
48.86309504508972,-4.96665297754553,23.41291904449463,0.0,112.1
49.85635161399841,-4.699876797909768,23.37203025817871,0.0,112.1
50.87234711647034,-5.0,23.34749698638916,0.0,112.1
51.85879874229431,-5.0,23.76047372817993,6.4453125,112.1
52.869802951812744,-5.0,23.335230350494385,6.4453125,112.1
53.86076831817627,-5.0,23.363852500915527,0.0,112.1
54.86862230300903,-5.0,23.384296894073486,3.22265625,112.1
55.862866163253784,-5.0,23.376119136810303,0.0,112.1
56.870465993881226,-5.0,23.34749698638916,0.0,112.1
57.86559057235718,-5.0,23.39247465133667,19.335937499999996,112.1
58.87290930747986,-5.0,23.809540271759033,6.4453125,112.1
59.867101192474365,-5.0,23.39656352996826,0.0,112.1
60.87610936164856,-5.0,23.39656352996826,0.0,112.1
61.87279677391052,-4.866611910182119,23.34340810775757,6.4453125,112.1
62.86239433288574,-5.0,23.363852500915527,0.0,112.1
63.87132525444031,-5.0,23.380208015441895,0.0,112.1
64.8696677684784,-5.0,23.39656352996826,0.0,112.1
65.8774950504303,-5.0,23.37203025817871,6.4453125,112.1
66.86957502365112,-5.0,23.376119136810303,0.0,112.1
67.87463307380676,-4.96665297754553,23.384296894073486,0.0,112.1
68.86812376976013,-4.933305955091059,23.384296894073486,0.0,112.1
69.87714648246765,-5.0,23.404741287231445,0.0,112.1
70.8706316947937,-5.0,23.421096801757812,0.0,112.1
71.88136649131775,-5.0,23.39247465133667,0.0,112.1
72.87161087989807,-4.933305955091059,23.36794137954712,3.22265625,112.1
73.88045048713684,-4.899958932636589,23.80136251449585,0.0,112.1
74.8738112449646,-5.0,23.380208015441895,0.0,112.1
75.8827736377716,-4.933305955091059,23.384296894073486,0.0,112.1
76.87541007995605,-5.0,23.355674743652344,3.22265625,112.1
77.86983704566956,-5.0,23.355674743652344,6.4453125,112.1
78.88472652435303,-5.0,23.359763622283936,0.0,112.1
79.87886643409729,-4.566488708091887,23.34749698638916,3.22265625,112.1
80.8794379234314,-5.0,23.809540271759033,0.0,112.1
