Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
0.008703470230102539,-5.0,17.52084493637085,0.0,0.3,1
0.7724013328552246,-4.833264887727649,17.966532707214355,3.22265625,0.3,1
1.766826868057251,-5.0,17.90928840637207,9.667968749999998,0.4,1
2.77490234375,-5.0,17.941999435424805,0.0,0.4,1
3.768002986907959,-5.0,17.921555042266846,3.22265625,0.5,1
4.775934934616089,-5.0,17.897021770477295,0.0,0.5,1
5.769439458847046,-4.799917865273179,17.90519952774048,0.0,0.5,1
6.761815786361694,-4.96665297754553,17.92973279953003,0.0,0.5,1
7.76999831199646,-4.7332238203642385,17.982888221740723,3.22265625,0.5,1
8.763524532318115,0.7690348846233448,17.88475513458252,0.0,0.6,1
9.771421670913696,1.636057468439569,17.970621585845947,0.0,-0.1,1
10.764911890029907,1.9028336480753305,17.913377285003662,0.0,-0.2,1
11.7731032371521,1.7027515133485105,17.897021770477295,3.22265625,0.0,1
12.766742467880249,1.435975333712748,17.95426607131958,3.22265625,-0.1,1
13.758769512176514,1.335934266349338,17.90519952774048,3.22265625,-0.1,1
14.766543626785278,1.5026693786216887,17.921555042266846,3.22265625,0.2,1
15.759732246398926,1.5693634235306284,17.917466163635254,0.0,0.2,1
16.76859736442566,1.6027104459850996,17.90928840637207,0.0,0.3,1
17.761330604553223,1.102505109168047,17.90519952774048,0.0,0.3,1
18.768521785736084,1.4693223561672175,17.970621585845947,12.890625,0.3,1
19.762357473373413,1.335934266349338,17.986977100372314,0.0,0.0,1
20.77152729034424,1.435975333712748,17.991065979003906,0.0,0.1,1
21.76429033279419,1.5026693786216887,17.962443828582764,0.0,0.1,1
22.75708317756653,1.536016401076159,17.99924373626709,9.667968749999998,0.1,1
23.76522159576416,1.402628311258277,17.962443828582764,0.0,0.2,1
24.757882833480835,1.5026693786216887,17.962443828582764,3.22265625,0.3,1
25.771119117736816,1.5026693786216887,17.97471046447754,0.0,0.3,1
26.76594305038452,1.5693634235306284,17.97879934310913,0.0,0.4,1
27.773321390151978,2.1029157828021523,17.95017719268799,0.0,0.0,1
28.76165509223938,1.5026693786216887,17.966532707214355,0.0,0.0,1
29.76887059211731,1.4693223561672175,17.966532707214355,0.0,0.2,1
30.761345863342285,1.5026693786216887,17.941999435424805,0.0,0.2,1
31.754406690597534,1.8361396031663908,17.97879934310913,0.0,0.2,1
32.7630500793457,1.2358931989859272,17.88475513458252,0.0,0.3,1
33.75573921203613,1.6027104459850996,17.982888221740723,0.0,0.3,1
34.76472854614258,1.1691991540769866,17.986977100372314,0.0,0.4,1
35.75739669799805,1.302587243894867,17.97471046447754,0.0,0.4,1
36.76620054244995,2.1362628052566217,17.995154857635498,0.0,0.5,1
37.75860929489136,1.402628311258277,17.958354949951172,0.0,0.5,1
38.76840543746948,1.5026693786216887,17.991065979003906,0.0,0.6,1
39.76037549972534,1.4693223561672175,19.557106494903564,0.0,0.6,1
40.753273010253906,1.4693223561672175,17.962443828582764,0.0,0.6,1
41.762067794799805,1.435975333712748,17.982888221740723,138.57421875,0.6,1
42.75567960739136,1.4693223561672175,17.508578300476074,277.1484375,0.4,1
43.76381969451904,1.5693634235306284,17.807066440582275,438.28125,0.7,1
44.75624227523804,1.402628311258277,17.946088314056396,431.8359375,0.9,1
45.76478362083435,1.435975333712748,17.5453782081604,515.625,1.0,1
46.75913619995117,1.7027515133485105,17.56991147994995,541.40625,1.0,1
47.77406978607178,1.4693223561672175,17.5453782081604,557.51953125,1.0,1
48.76447010040283,1.4693223561672175,17.557644844055176,541.40625,1.0,1
49.76119923591614,1.4693223561672175,17.97471046447754,547.8515625,0.8,1
50.76545596122742,1.4693223561672175,17.553555965423584,557.51953125,0.8,1
51.773701906204224,1.4693223561672175,17.56991147994995,557.51953125,0.0,1
52.76957392692566,1.1691991540769866,17.508578300476074,554.296875,0.0,1
53.77048349380493,1.402628311258277,17.529022693634033,557.51953125,0.0,1
54.76407170295715,1.536016401076159,17.5453782081604,576.8554687499999,0.0,1
55.757537841796875,1.5026693786216887,17.56991147994995,551.07421875,0.0,1
56.76518201828003,1.5026693786216887,17.54128932952881,560.7421874999999,0.1,1
57.75796389579773,1.4693223561672175,17.56582260131836,560.7421874999999,0.1,1
58.766544818878174,1.5026693786216887,17.56582260131836,563.96484375,0.2,1
59.759947299957275,1.4693223561672175,17.529022693634033,554.296875,0.2,1
60.76807403564453,1.4693223561672175,17.56991147994995,551.07421875,0.2,1
61.762505531311035,2.269650895074504,17.582178115844727,554.296875,0.2,1
62.77028775215149,0.8690759519867548,17.56991147994995,563.96484375,0.2,1
63.76304531097412,1.102505109168047,17.95017719268799,557.51953125,0.2,1
64.75634837150574,1.5026693786216887,17.561733722686768,557.51953125,0.2,1
65.76514077186584,1.636057468439569,17.5453782081604,560.7421874999999,0.3,1
66.75806093215942,1.7694455582574502,17.557644844055176,563.96484375,0.3,1
67.76648879051208,1.1358521316225154,17.5453782081604,563.96484375,0.3,1
68.75926542282104,3.0032853890728486,17.95017719268799,563.96484375,0.4,1
69.76878643035889,1.2358931989859272,17.557644844055176,0.0,0.3,1
70.76124215126038,0.9024229744412251,17.561733722686768,563.96484375,0.3,1
71.75406789779663,1.5026693786216887,17.56991147994995,557.51953125,0.4,1
72.76346611976624,1.5026693786216887,17.56582260131836,551.07421875,0.4,1
73.75642442703247,1.4693223561672175,17.982888221740723,557.51953125,0.4,1
74.76523065567017,2.1362628052566217,17.5453782081604,554.296875,0.4,1
75.7579255104065,1.2692402214403975,17.533111572265625,554.296875,0.4,1
76.76643872261047,1.435975333712748,17.561733722686768,560.7421874999999,0.4,1
77.76012325286865,1.636057468439569,17.56582260131836,551.07421875,0.4,1
78.76883101463318,0.1354414579884109,17.516756057739258,557.51953125,0.4,1
79.76125144958496,1.6694044908940402,17.529022693634033,557.51953125,0.4,1
80.75519227981567,1.4693223561672175,17.549467086791992,557.51953125,0.4,1
81.76273775100708,1.4693223561672175,17.52084493637085,560.7421874999999,0.4,1
82.75797986984253,1.4693223561672175,18.16279888153076,560.7421874999999,0.4,1
83.76442456245422,1.4693223561672175,17.5453782081604,551.07421875,0.4,1
84.75695490837097,1.5026693786216887,17.537200450897217,557.51953125,0.4,1
85.76621460914612,1.435975333712748,17.594444751739502,554.296875,0.5,1
86.75980520248413,0.8357289295322845,17.582178115844727,551.07421875,0.5,1
87.75232696533203,4.570595444432946,17.52084493637085,563.96484375,0.5,1
88.76104068756104,0.9357699968956954,17.56582260131836,551.07421875,0.5,1
89.75499939918518,1.402628311258277,17.50040054321289,554.296875,0.5,1
90.76884388923645,1.5026693786216887,17.537200450897217,560.7421874999999,0.5,1
91.76030802726746,1.5026693786216887,17.52493381500244,554.296875,0.5,1
92.77031803131104,-5.0,17.488133907318115,557.51953125,0.6,1
93.76183342933655,1.6027104459850996,17.56582260131836,557.51953125,0.6,1
94.76898241043091,1.5026693786216887,17.529022693634033,557.51953125,0.6,1
95.75885367393494,1.536016401076159,17.58626699447632,573.6328125,0.6,1
96.7733747959137,1.5026693786216887,17.516756057739258,554.296875,0.6,1
97.76135420799255,1.0358110642591063,17.58626699447632,557.51953125,0.6,1
98.75476741790771,1.969527692984271,17.533111572265625,554.296875,0.6,1
99.76279711723328,1.2692402214403975,17.574000358581543,547.8515625,0.6,1
100.75942730903625,1.1691991540769866,17.63533353805542,557.51953125,0.7,1
101.76537108421326,1.5026693786216887,17.5453782081604,560.7421874999999,0.7,1
102.7581684589386,1.435975333712748,17.553555965423584,554.296875,0.7,1
103.767174243927,1.5026693786216887,17.549467086791992,563.96484375,0.7,1
104.76032996177673,-5.0,17.557644844055176,557.51953125,0.7,1
105.75353574752808,-5.0,17.5453782081604,554.296875,0.7,1
106.76111149787903,1.0358110642591063,17.557644844055176,557.51953125,0.7,1
107.75390005111694,1.202546176531457,17.553555965423584,560.7421874999999,0.7,1
108.76294875144958,1.636057468439569,17.549467086791992,567.1875,0.7,1
109.75582098960876,1.402628311258277,17.97879934310913,560.7421874999999,0.7,1
110.7653124332428,1.4693223561672175,17.4963116645813,554.296875,0.7,1
111.7581946849823,1.402628311258277,17.56582260131836,557.51953125,0.7,1
112.75133419036865,1.636057468439569,17.557644844055176,576.8554687499999,0.8,1
113.75891399383545,1.4693223561672175,17.574000358581543,554.296875,0.8,1
114.75417828559875,1.435975333712748,17.537200450897217,560.7421874999999,0.8,1
115.76061677932739,1.5026693786216887,17.557644844055176,567.1875,0.8,1
116.75495862960815,2.069568760347681,17.553555965423584,554.296875,0.8,1
117.76883482933044,0.9691170193501648,17.574000358581543,563.96484375,0.8,1
118.75649380683899,1.435975333712748,17.52493381500244,554.296875,0.8,1
119.76528644561768,1.5693634235306284,17.557644844055176,560.7421874999999,0.8,1
120.75835680961609,1.536016401076159,19.61843967437744,557.51953125,0.8,1
121.7517957687378,1.435975333712748,17.594444751739502,554.296875,0.8,1
122.76038861274719,1.3692812888038084,17.561733722686768,560.7421874999999,0.8,1
123.752112865448,1.4693223561672175,17.557644844055176,573.6328125,0.8,1
124.76226854324341,1.435975333712748,17.549467086791992,554.296875,0.8,1
125.75488185882568,1.4693223561672175,17.549467086791992,563.96484375,0.8,1
126.76250553131104,1.302587243894867,18.00333261489868,554.296875,0.9,1
