Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.07444548606872559,-5.0,1180,0.0,8.3
0.9332411289215088,-5.0,1209,0.0,8.3
1.9266321659088135,-5.0,1209,0.0,8.3
3.350886106491089,-4.933305955091059,1209,0.0,8.3
4.364023923873901,-5.0,1212,0.0,8.3
5.358436107635498,-4.933305955091059,1209,0.0,8.3
6.368042469024658,-5.0,1209,0.0,8.3
7.354251146316528,-4.933305955091059,1209,0.0,8.3
8.363616943359375,-4.899958932636589,1209,0.0,8.3
9.358651399612427,-4.933305955091059,1209,0.0,8.3
10.36678957939148,-4.899958932636589,1209,0.0,8.3
11.360766172409058,-4.933305955091059,1209,0.0,8.3
12.367365837097168,-4.933305955091059,27,0.0,8.3
13.359735250473022,-4.933305955091059,1209,0.0,8.3
14.36948537826538,-4.933305955091059,1209,0.0,8.3
15.3614821434021,-4.96665297754553,1209,0.0,8.3
16.37097668647766,-4.933305955091059,1209,0.0,8.3
17.363598823547363,-4.933305955091059,45,0.0,8.3
18.37445878982544,-4.899958932636589,1209,0.0,8.3
19.315170764923096,-4.933305955091059,1209,0.0,8.3
