Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.009434938430786133,-5.0,24,2468.5546874999995,0
0.5261974334716797,-4.799917865273179,23,2468.5546874999995,8.1
1.0726842880249023,-5.0,23,2462.109375,8.1
2.0639898777008057,-5.0,23,2468.5546874999995,8.1
3.0736947059631348,-5.0,23,2465.33203125,8.1
4.066273212432861,-5.0,24,2468.5546874999995,8.1
5.075201511383057,-5.0,24,1231.0546875,8.1
6.068706750869751,-5.0,24,2465.33203125,8.1
7.077535152435303,-5.0,22,2468.5546874999995,8.1
8.079191446304321,-5.0,24,2465.33203125,8.1
9.079082489013672,-5.0,24,2465.33203125,8.1
10.071593523025513,-5.0,24,2471.77734375,8.1
11.08000111579895,-5.0,24,2468.5546874999995,8.1
12.07399034500122,-5.0,24,2465.33203125,8.1
13.089664220809937,-5.0,24,2468.5546874999995,8.1
14.081069946289062,-5.0,23,2465.33203125,8.1
15.091540336608887,-5.0,23,2465.33203125,8.1
