Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.0042896270751953125,1.7694455582574502,7.662558555603027,0.0,00
0.5239124298095703,1.7694455582574502,23.273897171020508,0.0,703.0
1.5167348384857178,1.7694455582574502,23.179852962493896,6.4453125,703.0
2.5253584384918213,1.7694455582574502,23.249363899230957,0.0,703.0
3.518414258956909,1.8027925807119196,23.249363899230957,0.0,703.0
5.015411376953125,1.6694044908940402,22.815942764282227,0.0,703.0
6.023711681365967,1.9028336480753305,23.220741748809814,19.335937499999996,703.0
7.0172789096832275,2.7698562318915565,22.783231735229492,29.00390625,703.0
8.026025295257568,2.6364681420736744,22.32118844985962,16.11328125,703.0
9.018734693527222,2.603121119619206,22.770965099334717,41.89453125,703.0
10.027609825134277,2.603121119619206,23.71140718460083,0.0,703.0
11.020709753036499,2.6364681420736744,22.770965099334717,25.78125,703.0
12.01406455039978,3.036632411527318,23.16349744796753,29.00390625,703.0
13.022920608520508,2.3363449399834435,24.202072620391846,29.00390625,703.0
14.0150146484375,2.603121119619206,24.55371618270874,35.44921875,703.0
15.02367615699768,2.269650895074504,23.98536205291748,29.00390625,703.0
16.01686191558838,2.169609827711093,25.019848346710205,29.00390625,703.0
17.026728630065918,2.5697740971647347,22.73416519165039,22.558593749999996,703.0
18.019726276397705,2.5697740971647347,22.80367612838745,38.67187499999999,703.0
19.028196573257446,2.936591344163907,22.239410877227783,16.11328125,703.0
20.02230930328369,2.069568760347681,22.672832012176514,38.67187499999999,703.0
