Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.01036381721496582,0.4022176376241724,11,74.12109374999999,8.4
1.4137053489685059,0.3355235927152318,17,90.23437499999999,8.4
2.42755126953125,0.4355646600786427,17,83.7890625,8.4
3.427502155303955,0.4355646600786427,17,74.12109374999999,8.4
4.909420967102051,-1.4652156198261594,18,167.578125,8.4
5.929016351699829,0.7356878621688745,17,219.140625,8.4
7.429345607757568,0.4022176376241724,18,238.4765625,8.4
8.420982122421265,0.3355235927152318,18,219.140625,8.4
9.41670823097229,0.2021355028973515,18,154.68749999999997,8.4
10.415796995162964,0.4689116825331121,18,80.56640625,8.4
11.427322149276733,0.5356057274420527,14,32.2265625,8.4
