Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
0.009078264236450195,11.940287406870862,13.530099391937256,3.22265625,0,1
0.5281083583831787,11.940287406870862,21.27443552017212,0.0,-0.2,1
1.7463901042938232,11.6735112272351,21.25399112701416,0.0,-0.2,1
2.7645230293273926,12.573880833505797,21.18856906890869,0.0,-0.2,1
3.751190662384033,11.90694038441639,20.849192142486572,3.22265625,-0.2,1
4.751519441604614,11.6735112272351,21.200835704803467,0.0,-0.2,1
5.7500340938568115,11.306693980235927,21.20492458343506,0.0,-0.2,1
6.744316816329956,11.90694038441639,21.59336805343628,0.0,-0.2,1
7.753559589385986,12.173716564052153,20.861458778381348,16.11328125,-0.2,1
8.745466232299805,12.040328474234272,21.18856906890869,6.4453125,-0.2,1
9.757334232330322,12.207063586506624,20.763325691223145,29.00390625,-0.2,1
10.755279064178467,11.80689931705298,20.812392234802246,80.56640625,-0.2,1
11.74109435081482,10.739794598509935,20.836925506591797,228.80859375,-0.2,1
12.756709814071655,10.17289521678394,20.853281021118164,444.7265625,-0.2,1
13.745763540267944,-5.0,20.45665979385376,335.15625,-0.2,1
14.75970458984375,8.272114936879138,21.356213092803955,145.01953125,-0.2,1
15.74576735496521,7.305051285699504,21.266257762908936,141.796875,-0.2,1
16.753074169158936,8.839014318605132,20.898258686065674,335.15625,-0.2,1
17.745710372924805,9.505954767694536,20.93505859375,270.703125,-0.2,1
18.754215955734253,10.17289521678394,20.894169807434082,370.60546875,-0.2,1
19.751197576522827,9.205831565604305,20.91461420059204,444.7265625,-0.2,1
20.76165533065796,7.438439375517383,20.930969715118408,467.28515625,-0.2,1
21.749963998794556,5.737741230339404,21.033191680908203,425.390625,-0.2,1
22.7652530670166,4.503901399524008,20.836925506591797,441.50390625,-0.2,1
23.747947216033936,3.703572860616722,20.918703079223633,412.5,-0.2,1
24.745295524597168,4.97075971388659,21.376657485961914,447.94921875,-0.2,1
25.76102566719055,2.603121119619206,21.00048065185547,412.5,-0.2,1
26.747491359710693,2.3029979175289723,20.50163745880127,451.171875,-0.2,1
