Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.009533166885375977,0.9357699968956954,11.12583875656128,0.0,0
0.531008243560791,2.269650895074504,18.694353103637695,412.5,1497.0
1.6977615356445312,1.5693634235306284,18.73115301132202,393.16406249999994,1497.6
2.6864383220672607,1.969527692984271,18.70253086090088,415.72265625,1498.2
3.6951162815093994,1.8027925807119196,18.710708618164062,418.9453125,1498.8
4.688660383224487,1.8027925807119196,19.176840782165527,441.50390625,1499.3
5.6830456256866455,2.069568760347681,21.495234966278076,396.38671875,1499.9
6.69096565246582,1.402628311258277,19.152307510375977,399.609375,1500.5
7.684807300567627,2.503080052255795,18.767952919006348,422.16796875,1501.1
8.692178726196289,2.0028747154387423,19.164574146270752,447.94921875,1501.7
9.685797929763794,2.0028747154387423,19.15639638900757,367.3828125,1502.2
10.694326877593994,1.969527692984271,18.690264225006104,409.27734375,1502.8
11.688476800918579,2.369691962437914,18.763864040374756,431.8359375,1503.4
12.701183795928955,1.402628311258277,18.690264225006104,396.38671875,1504.0
13.690307855606079,2.403038984892383,18.735241889953613,422.16796875,1504.6
14.697572231292725,2.0028747154387423,18.743419647216797,451.171875,1505.2
15.691359281539917,2.169609827711093,19.148218631744385,402.83203125,1505.7
16.707077026367188,1.969527692984271,18.72706413269043,0.0,1506.3
17.693188428878784,4.603942466887418,18.718886375427246,409.27734375,1506.9
18.70267152786255,2.0028747154387423,18.72706413269043,499.51171875,1507.5
19.69542098045349,1.969527692984271,18.72706413269043,447.94921875,1508.2
20.705467224121094,1.969527692984271,19.144129753112793,821.77734375,1508.6
21.69846200942993,1.969527692984271,19.741106033325195,406.0546875,1509.4
22.705939769744873,1.969527692984271,19.131863117218018,0.0,1509.9
23.69982099533081,2.3363449399834435,18.72706413269043,435.05859375,1510.6
24.708162784576416,2.202956850165563,19.221818447113037,418.9453125,1511.0
25.702595233917236,2.703162186982616,18.70253086090088,399.609375,1511.7
26.709850788116455,1.7027515133485105,18.74750852584839,377.05078124999994,1512.2
27.703575372695923,2.0362217378932117,18.75159740447998,383.49609375,1512.9
28.712892055511475,2.0028747154387423,18.72706413269043,425.390625,1513.4
29.706242561340332,1.969527692984271,19.20546293258667,435.05859375,1514.0
30.70544171333313,1.7694455582574502,18.722975254058838,415.72265625,1514.6
31.711585521697998,2.1029157828021523,18.710708618164062,389.94140624999994,1515.2
32.70586347579956,1.6694044908940402,19.221818447113037,451.171875,1515.8
33.714911222457886,5.571006118067054,19.18092966079712,399.609375,1516.4
34.70322036743164,1.9361806705298017,19.18092966079712,396.38671875,1517.0
35.712798833847046,1.969527692984271,19.15639638900757,464.0625,1517.5
36.723090171813965,5.104147803704471,19.213640689849854,412.5,1518.1
37.71776580810547,2.0028747154387423,19.176840782165527,399.609375,1518.7
38.71221399307251,2.069568760347681,19.221818447113037,393.16406249999994,1519.3
