Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.008912801742553711,-5.0,22.96314239501953,0.0,0.0
8.359941005706787,-5.0,22.55425453186035,0.0,0.0
9.353138208389282,-4.833264887727649,22.578787803649902,0.0,0.0
10.362640857696533,-5.0,22.173988819122314,0.0,0.0
11.856943130493164,-5.0,22.11674451828003,0.0,0.0
12.851577997207642,-4.96665297754553,22.513365745544434,16.11328125,0.0
13.860095500946045,-4.7332238203642385,21.87141180038452,87.01171875,0.0
14.857203006744385,-4.7332238203642385,21.79781198501587,22.558593749999996,0.0
15.86005425453186,-4.7332238203642385,21.585190296173096,32.2265625,0.0
16.854777336120605,-4.7332238203642385,20.59159278869629,32.2265625,0.0
17.84665322303772,-4.7332238203642385,21.008658409118652,64.453125,0.0
18.855806589126587,-4.7332238203642385,21.237635612487793,170.80078124999997,0.5
19.84928059577942,-4.7332238203642385,21.016836166381836,264.25781249999994,2.4
20.859408140182495,-4.399753595819536,20.56705951690674,386.71875,4.0
21.853742122650146,-4.666529775455298,22.202610969543457,512.4023437499999,5.1
22.8667573928833,-4.699876797909768,20.746970176696777,531.73828125,6.1
23.853744506835938,-4.599835730546357,20.244038105010986,544.6289062499999,6.9
24.862112522125244,-4.366406573365066,22.378432750701904,554.296875,7.5
25.854480504989624,-4.333059550910596,20.170438289642334,570.41015625,8.1
26.848616123199463,-5.0,20.849192142486572,563.96484375,8.6
27.857482194900513,-4.766570842818709,23.25345277786255,570.41015625,9.1
28.851712703704834,-4.7332238203642385,19.81879472732544,563.96484375,9.6
29.860218048095703,-4.333059550910596,20.374882221221924,576.8554687499999,10.1
30.858257055282593,-5.0,19.52439546585083,580.078125,10.4
31.86121654510498,-4.699876797909768,19.577550888061523,580.078125,10.8
32.860103130340576,-4.96665297754553,19.017374515533447,580.078125,11.2
33.86396241188049,-4.899958932636589,20.105016231536865,580.078125,11.4
34.855584383010864,-4.7332238203642385,19.929194450378418,596.19140625,11.8
35.84894156455994,-3.966242303911424,20.783770084381104,580.078125,12.2
36.857144832611084,-4.7332238203642385,19.405817985534668,580.078125,12.9
38.36010193824768,-4.933305955091059,19.393551349639893,522.0703125,13.3
39.37821412086487,-4.933305955091059,25.882601737976074,547.8515625,13.7
40.36917161941528,-4.899958932636589,19.20955181121826,551.07421875,13.9
41.36754107475281,-4.96665297754553,18.841552734375,541.40625,14.3
42.36052060127258,-5.0,22.464299201965332,541.40625,14.5
43.369019508361816,-5.0,19.675683975219727,538.18359375,14.8
44.362874269485474,-4.833264887727649,19.1400408744812,541.40625,15.2
45.356504678726196,-4.866611910182119,19.238173961639404,541.40625,15.4
46.36435580253601,-5.0,19.246351718902588,544.6289062499999,15.7
47.35686373710632,-4.599835730546357,18.49808692932129,531.73828125,16.1
48.36622500419617,-5.0,18.583953380584717,541.40625,16.3
49.359619140625,-4.933305955091059,18.244576454162598,544.6289062499999,16.6
