Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
0.011778593063354492,-5.0,19.393551349639893,576.8554687499999,16.0,0
0.6808686256408691,-5.0,20.20723819732666,570.41015625,16.0,0
1.68068265914917,-4.566488708091887,20.244038105010986,570.41015625,16.0,0
2.692023277282715,-5.0,19.831061363220215,573.6328125,16.0,0
4.1762166023254395,-4.766570842818709,19.062352180480957,576.8554687499999,16.0,1
5.164885997772217,-4.566488708091887,20.23177146911621,618.7499999999999,16.0,1
6.194620132446289,-4.699876797909768,20.632481575012207,657.4218749999999,16.0,1
7.170036315917969,-4.266365506001655,21.994078159332275,647.75390625,16.0,1
8.17251992225647,-4.699876797909768,16.86253547668457,650.9765624999999,16.0,1
9.166023015975952,-4.333059550910596,21.63834571838379,647.75390625,16.0,1
10.160835981369019,-4.666529775455298,20.36261558532715,644.53125,16.0,1
11.167446374893188,-4.7332238203642385,19.86786127090454,654.19921875,16.0,1
12.169633865356445,-5.0,20.419859886169434,660.64453125,16.0,1
13.188699722290039,-4.699876797909768,20.403504371643066,650.9765624999999,16.0,1
14.18492317199707,-4.766570842818709,20.395326614379883,650.9765624999999,16.0,1
15.179855823516846,-4.666529775455298,20.877814292907715,641.3085937499999,16.0,1
16.17173147201538,-4.666529775455298,20.562970638275146,647.75390625,16.0,1
17.182480096817017,-4.433100618274007,20.853281021118164,650.9765624999999,16.0,1
18.17156720161438,-4.066283371274834,21.810078620910645,644.53125,16.0,1
19.190805673599243,-5.0,21.376657485961914,650.9765624999999,16.0,2
20.68978977203369,-4.899958932636589,20.579326152801514,586.5234375,16.0,2
21.70033884048462,-4.899958932636589,21.008658409118652,602.63671875,16.0,2
