0,0,0,0,0,0,0,,0
0.0017812,2.221,4272.1,4.0316,407.08,5.98E-05,2,,2
1.1012,2.2161,2863.3,3.9787,407,0.073449,2,,2
4.0042,2.2451,2294.3,4.1518,405.76,0.27014,1,,1
6.7389,2.2943,1040,3.8382,402.66,0.45223,1,,1
9.5699,2.2942,3156.3,3.8952,405.78,0.63467,2,,2
12.307,2.3194,972.24,4.2414,401.11,0.82024,1,,1
15.138,2.3211,1437.8,3.8972,398.4,1.0123,1,,1
17.971,2.3181,2740,7.4956,45.699,1.2813,2,,2
20.816,2.3287,1801.1,24.732,287.86,2.0452,1,,1
23.649,2.3512,780.19,24.103,320.5,3.1981,1,,1
26.344,2.3758,4636.6,23.673,306.37,4.2711,2,,2
29.219,2.4038,1457.9,34.395,105.09,5.6622,1,,1
31.957,2.3797,594.6,42.185,25.821,7.4098,1,,1
34.693,2.3866,1708.2,46.009,26.881,9.4206,1,,1
37.38,2.4166,1929.8,57.706,126.86,11.742,1,,1
40.163,2.4585,3385,57.299,195.06,14.41,2,,2
42.97,2.4941,4004.1,54.481,210.41,17.024,2,,2
45.824,2.5099,5027.9,55.629,219.87,19.644,2,,2
48.622,2.5576,1286.4,53.086,224.74,22.178,1,,1
51.409,2.559,777.99,52.306,234.02,24.626,1,,1
53.944,2.5698,1429,52.32,246.96,26.836,1,,1
56.673,2.5742,3215.3,50.899,247.21,29.184,2,,2
59.487,2.5596,2849.9,52.041,245.82,31.597,2,,2
62.307,2.5601,2986.6,52.528,244.6,34.055,2,,2
65.128,2.5507,357.75,52.522,249.33,36.524,1,,1
67.891,2.5397,2109.3,54.446,242.84,38.987,1,,1
70.718,2.5232,2627.5,53.629,243.62,41.534,1,,1
73.479,2.5461,324.01,53.57,242.11,44,1,,1
76.215,2.5208,3535.1,53.719,246.72,46.446,2,,2
78.944,2.524,6055.2,54.452,255.28,48.906,2,,2
81.758,2.5156,1813.6,55.703,256.63,51.489,1,,1
84.684,2.497,2003,54.921,303.6,54.187,1,,1
87.449,2.507,2046.8,54.273,368.33,56.703,1,,1
